Data,Bebidas_Cantidad,Bebidas_Ventas,Comida_Cantidad,Comida_Ventas,Otros_Cantitdad,Otros_Ventas,Total_Cantidad,Total_Ventas,,,
10/11/2019,454,990.05,280,854.60,40,33.30,774,1877.95,,,
11/11/2019,247,514.60,138,459.30,19,38.10,404,1012.00,,,
12/11/2019,307,635.15,119,374.70,18,4.80,444,1014.65,,,
13/11/2019,311,623.65,126,375.60,46,12.70,483,1011.95,,,
14/11/2019,335,686.20,165,487.90,25,25.40,525,1199.50,,,
15/11/2019,355,727.35,187,580.80,52,104.70,594,1412.85,,,
16/11/2019,507,1070.50,272,868.60,45,69.70,824,2008.80,,,
17/11/2019,493,1080.90,277,924.80,22,0.00,792,2005.70,,,
18/11/2019,213,427.70,96,304.30,10,12.70,319,744.70,,,
19/11/2019,375,785.45,182,588.70,18,12.70,575,1386.85,,,
20/11/2019,345,736.95,178,567.50,43,30.20,566,1334.65,,,
21/11/2019,383,785.30,188,592.60,51,12.70,622,1390.60,,,
22/11/2019,364,787.75,182,610.20,24,66.60,570,1464.55,,,
23/11/2019,496,1060.60,267,891.70,69,56.00,832,2008.30,,,
24/11/2019,470,1009.75,258,821.00,29,55.30,757,1886.05,,,
25/11/2019,393,810.20,175,571.80,40,69.70,608,1451.70,,,
26/11/2019,358,762.75,168,515.10,36,46.00,562,1323.85,,,
27/11/2019,335,712.90,164,524.90,12,15.80,511,1253.60,,,
28/11/2019,280,595.75,137,413.70,22,109.20,439,1118.65,,,
29/11/2019,276,585.40,123,377.50,36,85.50,435,1048.40,,,
30/11/2019,471,1030.65,287,928.30,43,46.00,801,2004.95,,,
01/12/2019,395,906.40,226,741.50,26,66.90,647,1714.80,,,
02/12/2019,302,617.60,132,375.40,16,68.00,450,1061.00,,,
03/12/2019,263,555.30,114,372.20,16,55.60,393,983.10,,,
04/12/2019,234,499.90,105,361.60,8,28.50,347,890.00,,,
05/12/2019,224,525.90,116,370.40,18,92.00,358,988.30,,,
06/12/2019,409,906.45,202,664.20,46,31.90,657,1602.55,,,
07/12/2019,498,1120.75,285,838.70,33,55.60,816,2015.05,,,
08/12/2019,469,1137.20,309,889.50,15,-17.50,793,2009.20,,,
09/12/2019,338,765.80,187,583.30,26,75.00,551,1424.10,,,
10/12/2019,251,550.80,131,407.60,23,41.20,405,999.60,,,
11/12/2019,289,633.25,104,272.60,14,12.70,407,918.55,,,
12/12/2019,288,672.45,108,350.10,9,7.90,405,1030.45,,,
13/12/2019,235,518.00,128,432.60,22,15.80,385,966.40,,,
14/12/2019,505,1130.35,270,814.80,55,57.00,830,2002.15,,,
15/12/2019,452,1031.30,262,806.80,27,28.50,741,1866.60,,,
16/12/2019,225,480.30,116,365.70,15,20.60,356,866.60,,,
17/12/2019,305,681.05,132,370.40,13,39.50,450,1090.95,,,
18/12/2019,323,660.30,167,484.30,18,12.70,508,1157.30,,,
19/12/2019,268,573.40,120,354.50,15,28.50,403,956.40,,,
20/12/2019,260,564.35,126,407.80,16,23.70,402,995.85,,,
21/12/2019,345,785.25,219,689.50,15,41.20,579,1515.95,,,
22/12/2019,361,857.80,232,710.50,19,28.50,612,1596.80,,,
23/12/2019,268,610.55,175,521.00,6,20.60,449,1152.15,,,
24/12/2019,136,316.55,100,300.70,8,23.70,244,640.95,,,
26/12/2019,332,736.00,202,610.60,26,0.00,560,1346.60,,,
27/12/2019,422,973.65,276,902.40,21,39.50,719,1915.55,,,
28/12/2019,428,936.45,271,885.20,37,74.50,736,1896.15,,,
29/12/2019,498,1116.30,306,982.30,21,52.20,825,2150.80,,,
30/12/2019,485,1074.50,297,904.70,36,110.90,818,2090.10,,,
31/12/2019,223,518.95,166,568.70,10,44.30,399,1131.95,,,
01/01/2020,265,556.40,185,645.70,18,46.00,468,1248.10,,,
02/01/2020,400,898.10,256,877.30,24,74.50,680,1849.90,,,
03/01/2020,399,906.30,235,765.00,17,36.40,651,1707.70,,,
04/01/2020,385,885.40,237,732.30,15,34.80,637,1652.50,,,
05/01/2020,340,818.55,228,773.10,12,25.40,580,1617.05,,,
06/01/2020,272,614.65,172,564.10,15,0.00,459,1178.75,,,
07/01/2020,225,481.95,106,335.70,11,25.40,342,843.05,,,
08/01/2020,208,444.75,84,276.90,19,35.00,311,756.65,,,
09/01/2020,212,441.85,108,337.80,9,36.40,329,816.05,,,
10/01/2020,235,522.65,131,412.80,16,38.10,382,973.55,,,
11/01/2020,396,888.30,227,664.20,30,69.70,653,1622.20,,,
12/01/2020,349,836.60,185,567.60,17,46.00,551,1450.20,,,
13/01/2020,192,412.75,92,309.60,11,44.30,295,766.65,,,
14/01/2020,238,519.75,109,355.40,20,20.60,367,895.75,,,
15/01/2020,225,502.35,100,314.90,28,23.70,353,840.95,,,
16/01/2020,246,540.85,110,369.90,14,7.90,370,918.65,,,
17/01/2020,258,570.90,122,378.20,22,52.20,402,1001.30,,,
18/01/2020,376,841.80,207,669.70,26,50.80,609,1562.30,,,
19/01/2020,348,803.50,202,620.00,10,9.60,560,1433.10,,,
20/01/2020,190,414.70,91,279.50,9,30.20,290,724.40,,,
21/01/2020,238,525.20,98,296.00,14,12.70,350,833.90,,,
22/01/2020,229,516.75,100,299.70,19,15.80,348,832.25,,,
23/01/2020,210,466.55,117,386.50,8,25.40,335,878.45,,,
24/01/2020,240,517.10,106,319.80,14,4.80,360,841.70,,,
